303.839, 129.628, 6.843,  4.379 False
303.610, 129.635, 6.895,  4.412 False
303.379, 129.643, 6.949,  4.445 False
303.146, 129.650, 7.000,  4.478 False
302.911, 129.658, 7.053,  4.511 False
302.675, 129.667, 7.103,  4.544 False
302.437, 129.675, 7.155,  4.577 False
302.198, 129.683, 7.204,  4.610 False
301.956, 129.692, 7.257,  4.643 False
301.713, 129.701, 7.306,  4.676 False
301.469, 129.710, 7.359,  4.709 False
301.222, 129.719, 7.408,  4.742 False
300.974, 129.728, 7.460,  4.775 False
300.724, 129.737, 7.510,  4.808 False
300.473, 129.747, 7.562,  4.841 False
300.220, 129.757, 7.611,  4.874 False
299.965, 129.767, 7.664,  4.907 False
299.709, 129.777, 7.712,  4.940 False
299.450, 129.789, 7.764,  4.973 False
299.191, 129.800, 7.813,  5.006 False
298.929, 129.811, 7.866,  5.039 False
298.666, 129.823, 7.915,  5.072 False
298.401, 129.837, 7.967,  5.105 False
298.135, 129.850, 8.016,  5.138 False
297.867, 129.865, 8.069,  5.171 False
297.597, 129.879, 8.118,  5.204 False
297.325, 129.893, 8.168,  5.237 False
297.052, 129.907, 8.212,  5.270 False
296.778, 129.922, 8.254,  5.303 False
296.502, 129.937, 8.290,  5.336 False
296.226, 129.952, 8.323,  5.369 False
295.948, 129.968, 8.351,  5.402 False
295.670, 129.983, 8.377,  5.435 False
295.391, 130.000, 8.399,  5.468 False
295.111, 130.016, 8.418,  5.501 False
294.831, 130.033, 8.435,  5.534 False
294.550, 130.050, 8.450,  5.567 False
294.268, 130.067, 8.463,  5.600 False
293.987, 130.084, 8.474,  5.633 False
293.705, 130.102, 8.484,  5.666 False
293.422, 130.120, 8.492,  5.699 False
293.140, 130.138, 8.499,  5.732 False
292.857, 130.156, 8.505,  5.765 False
292.574, 130.175, 8.510,  5.798 False
292.291, 130.194, 8.514,  5.831 False
292.008, 130.213, 8.517,  5.864 False
291.725, 130.232, 8.520,  5.897 False
291.442, 130.252, 8.522,  5.930 False
291.159, 130.272, 8.523,  5.963 False
290.875, 130.292, 8.524,  5.996 False
290.592, 130.311, 8.524,  6.029 False
290.309, 130.331, 8.524,  6.062 False
290.025, 130.350, 8.524,  6.095 False
289.742, 130.370, 8.523,  6.128 False
289.458, 130.389, 8.522,  6.161 False
289.175, 130.408, 8.521,  6.194 False
288.892, 130.427, 8.519,  6.227 False
288.609, 130.447, 8.518,  6.260 False
288.325, 130.466, 8.516,  6.293 False
288.042, 130.484, 8.514,  6.326 False
287.759, 130.503, 8.512,  6.359 False
287.476, 130.522, 8.509,  6.392 False
287.193, 130.541, 8.507,  6.425 False
286.910, 130.559, 8.504,  6.458 False
286.628, 130.578, 8.502,  6.491 False
286.345, 130.596, 8.499,  6.524 False
286.062, 130.614, 8.496,  6.557 False
285.780, 130.631, 8.493,  6.590 False
285.497, 130.647, 8.490,  6.623 False
285.215, 130.664, 8.488,  6.656 False
