-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.546,  0.379
-183.775, 80.121, 0.726,  0.412
-183.761, 80.093, 0.859,  0.445
-183.743, 80.060, 1.025,  0.478
-183.722, 80.022, 1.196,  0.511
-183.700, 79.979, 1.358,  0.544
-183.679, 79.931, 1.484,  0.577
-183.657, 79.881, 1.568,  0.610
-183.637, 79.830, 1.619,  0.643
-183.616, 79.778, 1.644,  0.676
-183.596, 79.726, 1.649,  0.709
-183.576, 79.674, 1.632,  0.742
-183.557, 79.624, 1.599,  0.775
-183.538, 79.575, 1.573,  0.808
-183.520, 79.526, 1.561,  0.841
-183.501, 79.477, 1.562,  0.874
-183.482, 79.427, 1.571,  0.907
-183.464, 79.377, 1.581,  0.940
-183.446, 79.327, 1.589,  0.973
-183.428, 79.277, 1.596,  1.006
-183.410, 79.226, 1.601,  1.039
-183.392, 79.175, 1.605,  1.072
-183.375, 79.124, 1.610,  1.105
-183.357, 79.073, 1.615,  1.138
-183.340, 79.022, 1.620,  1.171
-183.324, 78.970, 1.625,  1.204
-183.307, 78.918, 1.631,  1.237
-183.290, 78.866, 1.637,  1.270
-183.274, 78.814, 1.636,  1.303
-183.258, 78.762, 1.636,  1.336
-183.242, 78.710, 1.640,  1.369
-183.226, 78.657, 1.646,  1.402
-183.211, 78.604, 1.653,  1.435
-183.196, 78.551, 1.659,  1.468
-183.180, 78.498, 1.666,  1.501
-183.165, 78.444, 1.671,  1.534
-183.150, 78.390, 1.677,  1.567
-183.135, 78.336, 1.683,  1.600
-183.121, 78.282, 1.689,  1.633
-183.106, 78.228, 1.694,  1.666
-183.092, 78.173, 1.700,  1.699
-183.077, 78.118, 1.705,  1.732
