-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.368,  0.313
-183.783, 80.157, 0.505,  0.346
-183.772, 80.138, 0.567,  0.379
-183.758, 80.117, 0.662,  0.412
-183.740, 80.091, 0.817,  0.445
-183.719, 80.061, 0.958,  0.478
-183.693, 80.028, 1.082,  0.511
-183.665, 79.991, 1.201,  0.544
-183.635, 79.951, 1.309,  0.577
-183.603, 79.910, 1.391,  0.610
-183.571, 79.867, 1.448,  0.643
-183.538, 79.823, 1.488,  0.676
-183.506, 79.778, 1.517,  0.709
-183.473, 79.734, 1.538,  0.742
-183.440, 79.689, 1.554,  0.775
-183.407, 79.644, 1.566,  0.808
-183.374, 79.600, 1.575,  0.841
-183.341, 79.555, 1.582,  0.874
-183.308, 79.510, 1.587,  0.907
-183.275, 79.466, 1.592,  0.940
-183.243, 79.421, 1.596,  0.973
-183.210, 79.376, 1.600,  1.006
-183.177, 79.332, 1.604,  1.039
-183.144, 79.287, 1.608,  1.072
-183.112, 79.242, 1.612,  1.105
-183.079, 79.198, 1.616,  1.138
-183.047, 79.153, 1.620,  1.171
-183.014, 79.108, 1.625,  1.204
-182.982, 79.063, 1.629,  1.237
-182.950, 79.018, 1.633,  1.270
-182.918, 78.973, 1.637,  1.303
-182.886, 78.927, 1.641,  1.336
-182.854, 78.882, 1.646,  1.369
-182.823, 78.836, 1.650,  1.402
-182.791, 78.790, 1.654,  1.435
-182.760, 78.744, 1.659,  1.468
-182.729, 78.698, 1.663,  1.501
-182.699, 78.651, 1.667,  1.534
-182.668, 78.604, 1.671,  1.567
-182.638, 78.557, 1.675,  1.600
-182.609, 78.510, 1.679,  1.633
-182.579, 78.462, 1.683,  1.666
-182.550, 78.414, 1.688,  1.699
-182.521, 78.365, 1.692,  1.732
